NI VB-8012,,,,,
Configuration,,,,,
,Device,,,,,
,,Name,Serial Number,Firmware,,,
,,VB8012-30DB56F,30DB56F,15.2.1f2,,,,,
MIXED SIGNAL OSCILLOSCOPE,,,,,,,,,,,,,,,,,,,,,,,,DC POWER SUPPLY,,,,,,,DIGITAL MULTIMETER,,,,,,,,DIGITAL I/O,,,,,,,,,,
Configuration,,,,,,,,,,,,,,,,,,,,,,,,Configuration,,,,,,,Configuration,,,,,,,,Configuration,,,,,,,,,,
,Analog,,,,,,,,,,,Trigger,,,,,,,,,Acquisition,,,,Analog,,,,,,,Analog,,,,,,,,Digital,,,,,,,,,,
,,Name,Alias,Channel Coupling,Bandwidth Limit,Input Impedance,Probe Attenuation,Volts Per Division,Vertical Offset (V),ΔT (ns),,,Type,Delay (s),Reason,Edge,Source,Level (V),Hysteresis,,,Mode,,,,Name,Operating Mode,Voltage Set Point,Amperage Set Point,,,,Name,Measurement Mode,Measurement Range,Input Impedance,Null Offset,,,,Name,Direction,,,,,,,,,
,,1,1,DC,Full Bandwidth,1 MΩ,1X,500 mV/,0.000000,5000000.0000,,,Edge,1.9989,Stopped,Rising,1,-1.45,Minimum,,,Peak Detect,,,,+6 V,CV,5.000,0.100,,,,DMM,DC Voltage,100 mV,Normal Impedance (10 MΩ),Off,,,,0,Input,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,+25 V,CV,9.000,0.500,,,,,,,,,,,,1,Input,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,-25 V,CV,-9.000,0.500,,,,,,,,,,,,2,Input,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Input,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Input,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Input,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Input,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,Input,,,,,,,,,,,
MIXED SIGNAL OSCILLOSCOPE,,,,,,,,,,,,,,,,,,,,,,,,DC POWER SUPPLY,,,,,,,DIGITAL MULTIMETER,,,,,,,,DIGITAL I/O,,,,,,,,,,
Data,,,,,,,,,,,,,,,,,,,,,,,,Data,,,,,,,Data,,,,,,,,Data,,,,,,,,,,
,Analog,,,,,,,,,,,,,,,,,,,,,,,,Analog,,,,,,,Analog,,,,,,,,Digital,,,,,,,,,,
,,Timestamps (ns),1 Min,1 Max,,,,,,,,,,,,,,,,,,,,,,+6 V,+25 V,-25 V,,,,,DMM,,,,,,,,0,1,2,3,4,5,6,7,,,
,,-1005000000,-1.66255144032922,-1.4320987654321,,,,,,,,,,,,,,,,,,,,,,4.999267578125,9.001953125,-8.9970703125,,,,,5.49567631133742E-05,,,,,,,,0,0,0,0,0,0,0,0,,,
,,-1000000000,-1.69547325102881,-1.44855967078189,,,,,,,,,,,,,,,,,,,,,,0.00030517578125,0.000823974609375,0.0009765625,,,,,,,,,,,,,,,,,,,,,,,
,,-995000000,-1.69547325102881,-1.48148148148148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
